DATE,Site Name,Site #,Duplicate site? (Y/N),JD,CJD,MO,DAY,YR,TIME,Q (cfs),Staff gage (ft),TEMP (?C),COND (microS/cm),DO (mg/L),PH,PSAT (%),TP (microg/L),PO4 (microg/L),NH4 (microg/L),NO2 (microg/L),NO3+NO2 (microg/L),TN (microg/L),SiO2 (microg/L),TSS (mg/L),Turbidity (NTU),Notes
07/28/16,West Canal,WC,NA,210,1486,7,28,2016,1230,NA,NA,21.5,121,3.2,6.96,42.6,293,194,34,0.5,15,708,43100,3,2.02,NA
08/11/16,West Canal,WC,NA,224,1500,8,11,2016,916,31.9,NA,16.1,108,4.1,7.25,48.4,210,157,15,0.5,10,545,39300,1.8,1.91,NA
08/24/16,West Canal,WC,NA,237,1513,8,24,2016,1153,25.9,NA,15.1,101,5.2,7.17,60.4,158,114,20,0.5,14,548,38600,1.4,1.35,NA
09/07/16,West Canal,WC,NA,251,1527,9,7,2016,1120,24.9,NA,12.6,106,5.3,7.4,58,171,82,16,0.5,4,625,33400,1.3,1.42,NA
09/21/16,West Canal,WC,NA,265,1541,9,21,2016,955,10.2,NA,12.3,94,5.8,7.42,63.2,176,135,16,0.5,9,462,36900,1.5,1.53,NA
10/06/16,West Canal,WC,NA,280,1556,10,6,2016,1100,29.9,NA,7.3,88,8.2,7.24,80.4,115,86,8,0.5,9,242,35800,1.4,1.41,NA
10/20/16,West Canal,WC,NA,294,1570,10,20,2016,1239,NA,NA,7,120,8.7,7.61,82.6,181,124,34,0.5,24,874,38600,0.5,2.24,NA
11/03/16,West Canal,WC,NA,308,1584,11,3,2016,1045,35.4,NA,5.1,130,8.7,7.03,80.2,160,119,25,2,26,563,38400,1.3,2.09,NA
11/17/16,West Canal,WC,NA,322,1598,11,17,2016,1015,NA,NA,3.2,123,9.7,6.81,84.3,167,103,29,0.5,19,788,39500,2.9,3.87,NA
12/01/16,West Canal,WC,NA,336,1612,12,1,2016,1200,NA,NA,2.2,116,11.2,7.32,95.6,135,86,30,0.5,16,380,39400,6,4.49,NA
01/03/01,Sprague R @ Kirchers Bridge,WR1000,NA,3,3,1,3,2001,NA,NA,NA,NA,NA,NA,NA,NA,52,39,5,NA,10,155,NA,NA,NA,NA
01/25/01,Sprague R @ Kirchers Bridge,WR1000,NA,25,25,1,25,2001,NA,NA,NA,NA,NA,NA,NA,NA,57,38,17,NA,5,50,NA,NA,NA,NA
02/08/01,Sprague R @ Kirchers Bridge,WR1000,NA,39,39,2,8,2001,NA,NA,NA,NA,NA,NA,NA,NA,64,41,5,NA,5,115,NA,NA,NA,NA
02/20/01,Sprague R @ Kirchers Bridge,WR1000,NA,51,51,2,20,2001,NA,NA,NA,NA,NA,NA,NA,NA,55,42,5,NA,5,50,NA,NA,NA,NA
03/08/01,Sprague R @ Kirchers Bridge,WR1000,NA,67,67,3,8,2001,NA,NA,NA,NA,NA,NA,NA,NA,62,42,16,NA,5,129,NA,NA,NA,NA
03/19/01,Sprague R @ Kirchers Bridge,WR1000,NA,78,78,3,19,2001,NA,NA,NA,NA,NA,NA,NA,NA,82,51,17,NA,5,239,NA,NA,NA,NA
04/02/01,Sprague R @ Kirchers Bridge,WR1000,NA,92,92,4,2,2001,NA,NA,NA,NA,NA,NA,NA,NA,82,45,37,NA,13,419,NA,NA,NA,NA
04/16/01,Sprague R @ Kirchers Bridge,WR1000,NA,108,106,4,16,2001,NA,NA,NA,NA,NA,NA,NA,NA,64,40,14,NA,5,258,NA,NA,NA,NA
05/23/01,Sprague R @ Kirchers Bridge,WR1000,NA,143,143,5,23,2001,NA,NA,NA,NA,NA,NA,NA,NA,69,52,20,NA,5,308,NA,NA,NA,NA
06/12/01,Sprague R @ Kirchers Bridge,WR1000,NA,163,163,6,12,2001,NA,NA,NA,NA,NA,NA,NA,NA,52,43,11,NA,5,193,NA,NA,NA,NA
06/21/01,Sprague R @ Kirchers Bridge,WR1000,NA,172,172,6,21,2001,NA,NA,NA,NA,NA,NA,NA,NA,54,36,31,NA,5,427,NA,NA,NA,NA
07/03/01,Sprague R @ Kirchers Bridge,WR1000,NA,184,184,7,3,2001,NA,NA,NA,NA,NA,NA,NA,NA,41,26,18,NA,12,310,NA,NA,NA,NA
07/18/01,Sprague R @ Kirchers Bridge,WR1000,NA,199,199,7,18,2001,NA,NA,NA,NA,NA,NA,NA,NA,47,29,5,NA,5,309,NA,NA,NA,NA
07/31/01,Sprague R @ Kirchers Bridge,WR1000,NA,212,212,7,31,2001,NA,NA,NA,NA,NA,NA,NA,NA,61,32,5,NA,10,305,NA,NA,NA,NA
08/15/01,Sprague R @ Kirchers Bridge,WR1000,NA,227,227,8,15,2001,NA,NA,NA,NA,NA,NA,NA,NA,66.5,49,5,NA,5,485,NA,NA,NA,NA
08/30/01,Sprague R @ Kirchers Bridge,WR1000,NA,242,242,8,30,2001,NA,NA,NA,NA,NA,NA,NA,NA,66,47,15,NA,10,407,NA,NA,NA,NA
09/18/01,Sprague R @ Kirchers Bridge,WR1000,NA,261,261,9,18,2001,NA,NA,NA,NA,NA,NA,NA,NA,45,33,37,NA,5,331,NA,NA,NA,NA
09/27/01,Sprague R @ Kirchers Bridge,WR1000,NA,270,270,9,27,2001,NA,NA,NA,NA,NA,NA,NA,NA,49,38,5,NA,5,291,NA,NA,NA,NA
10/18/01,Sprague R @ Kirchers Bridge,WR1000,NA,291,291,10,18,2001,NA,NA,NA,NA,NA,NA,NA,NA,44,30,14,NA,5,169,NA,NA,NA,NA
10/31/01,Sprague R @ Kirchers Bridge,WR1000,NA,304,304,10,31,2001,NA,NA,NA,NA,NA,NA,NA,NA,44,32.5,12,NA,5,75.5,NA,NA,NA,NA
11/19/01,Sprague R @ Kirchers Bridge,WR1000,NA,323,323,11,19,2001,NA,NA,NA,NA,NA,NA,NA,NA,44,35,5,NA,5,139,NA,NA,NA,NA
01/16/02,Sprague R @ Kirchers Bridge,WR1000,NA,16,381,1,16,2002,NA,NA,NA,NA,NA,NA,NA,NA,77,54,5,NA,80,342,NA,NA,NA,NA
01/28/02,Sprague R @ Kirchers Bridge,WR1000,NA,28,393,1,28,2002,NA,NA,NA,NA,NA,NA,NA,NA,75,54,5,NA,49,209,NA,NA,NA,NA
02/11/02,Sprague R @ Kirchers Bridge,WR1000,NA,42,407,2,11,2002,NA,NA,NA,NA,NA,NA,NA,NA,70,56,23,NA,23,258,NA,NA,NA,NA
02/27/02,Sprague R @ Kirchers Bridge,WR1000,NA,58,423,2,27,2002,NA,NA,NA,NA,NA,NA,NA,NA,96,49,5,NA,31,411,NA,NA,NA,NA
03/19/02,Sprague R @ Kirchers Bridge,WR1000,NA,78,443,3,19,2002,NA,NA,NA,NA,NA,NA,NA,NA,72,41,18,NA,17,302,NA,NA,NA,NA
